algorithm,sqrt_size,time
dfs,10,1.23
dfs,10,1
dfs,10,.94
dfs,25,1.39
dfs,25,1.19
dfs,25,1.08
dfs,50,1.31
dfs,50,1.42
dfs,50,1.01
dfs,100,1.71
dfs,100,1.78
dfs,100,1.34
dfs,250,2.25
dfs,250,2.02
dfs,250,1.97
dfs,500,5.53
dfs,500,5.75
dfs,500,6.02
dfs,1000,23.36
dfs,1000,24.37
dfs,1000,22.41
prims,10,1.18
prims,10,0.93
prims,10,0.94
prims,25,.94
prims,25,.93
prims,25,.94
prims,50,1.14
prims,50,1.01
prims,50,1.01
prims,100,1.61
prims,100,1.57
prims,100,1.56
prims,250,12.11
prims,250,10.54
prims,250,15.38
prims,500,74.31
prims,500,75.85
prims,500,76.10
wilsons,10,.94
wilsons,10,.91
wilsons,10,.98
wilsons,25,.94
wilsons,25,.96
wilsons,25,.93
wilsons,50,1.12
wilsons,50,1.14
wilsons,50,1.17
wilsons,100,6.63
wilsons,100,6.60
wilsons,100,3.99
wilsons,250,145.70
wilsons,250,163.36
wilsons,250,112.03

